time,command,vx,vy,vz,yawRate,x,y,z,roll,pitch,yaw,lat,lon,alt
1770645377.3919063,idle,0.0,0.0,0.0,0.0,125.62702178955078,93.45868682861328,-24.44447898864746,-0.49916755884273717,-0.08619481840515544,-0.7252441120800955,47.64260214207938,-122.13892945012891,145.85134887695312
1770645377.4551086,idle,0.0,0.0,0.0,0.0,125.51327514648438,93.60750579833984,-24.572853088378906,-0.46795350152560994,-0.07920294136584188,-0.7282138418072038,47.64260084026029,-122.13892694179016,146.03817749023438
1770645377.518346,idle,0.0,0.0,0.0,0.0,125.41183471679688,93.74058532714844,-24.679759979248047,-0.437246160352097,-0.0732156542368911,-0.7308710626891595,47.642599626208565,-122.13892460250139,146.21006774902344
1770645377.5791786,idle,0.0,0.0,0.0,0.0,125.31227111816406,93.87154388427734,-24.77702522277832,-0.40507159460629644,-0.06753619576406386,-0.7334121118843864,47.642598491415605,-122.13892241297086,146.36544799804688
1770645377.642616,idle,0.0,0.0,0.0,0.0,125.21967315673828,93.99375915527344,-24.86037826538086,-0.3737288334309422,-0.06237919998505942,-0.735671353992138,47.64259742908815,-122.13892035898375,146.5035858154297
1770645377.7040408,idle,0.0,0.0,0.0,0.0,125.14561462402344,94.09174346923828,-24.92192268371582,-0.3479157494990087,-0.05830835403332098,-0.7373852781747917,47.642596434903126,-122.13891843211283,146.62477111816406
1770645377.7667408,idle,0.0,0.0,0.0,0.0,125.05421447753906,94.21304321289062,-24.99153709411621,-0.3153641232490526,-0.05330370905046245,-0.7393691549082074,47.64259550611554,-122.13891662707857,146.72991943359375
1770645377.8271685,idle,0.0,0.0,0.0,0.0,124.99434661865234,94.292724609375,-25.03333282470703,-0.29372431924963616,-0.0500130817550746,-0.7405824239691831,47.64259464073521,-122.1389149401244,146.82037353515625
1770645377.8911133,idle,0.0,0.0,0.0,0.0,124.92567443847656,94.38434600830078,-25.077550888061523,-0.268677795205558,-0.04620531624818503,-0.7418849631603263,47.642593836634624,-122.13891336790006,146.89764404296875
1770645377.9555147,idle,0.0,0.0,0.0,0.0,124.85965728759766,94.47267150878906,-25.1163272857666,-0.24443614765882565,-0.04249234521567018,-0.743043149790301,47.642593091411854,-122.13891190664913,146.96328735351562
1770645378.017058,idle,0.0,0.0,0.0,0.0,124.8045654296875,94.54656982421875,-25.14590072631836,-0.2241252548064069,-0.03934235409317146,-0.7439364281371019,47.642592402733555,-122.13891055231049,147.01882934570312
1770645378.0802035,idle,0.0,0.0,0.0,0.0,124.7490005493164,94.62124633789062,-25.173168182373047,-0.20359922744927814,-0.036109291948557956,-0.7447671874602982,47.64259176785467,-122.13890930011246,147.06565856933594
1770645378.1442857,idle,0.0,0.0,0.0,0.0,124.70053100585938,94.6865234375,-25.19487190246582,-0.1856803984568028,-0.03323730608840203,-0.7454334167737866,47.642591183755734,-122.13890814487704,147.1050567626953
1770645378.2080112,idle,0.0,0.0,0.0,0.0,124.65619659423828,94.74635314941406,-25.213041305541992,-0.16928753695922785,-0.03056403769421133,-0.745994773848441,47.642590647211414,-122.13890708091857,147.13812255859375
1770645378.2701328,idle,0.0,0.0,0.0,0.0,124.61563873291016,94.80116271972656,-25.228239059448242,-0.15431104954153696,-0.028079304029847284,-0.7464655799628842,47.642590155065065,-122.13890610295759,147.1658477783203
1770645378.3332238,idle,0.0,0.0,0.0,0.0,124.57527923583984,94.8558578491211,-25.242048263549805,-0.13940322441492892,-0.025563151188216372,-0.7468956717794334,47.64258970429723,-122.13890520520683,147.18907165527344
1770645378.3971844,idle,0.0,0.0,0.0,0.0,124.5417251586914,94.90131378173828,-25.252506256103516,-0.1270438290353862,-0.02344328495942523,-0.747221241788352,47.642589291682675,-122.13890438208212,147.20851135253906
1770645378.458859,idle,0.0,0.0,0.0,0.0,124.5138931274414,94.93907928466797,-25.260498046875,-0.11680518412967113,-0.021663744897863223,-0.7474698020197984,47.64258891433926,-122.1389036277962,147.2247772216797
1770645378.5200438,idle,0.0,0.0,0.0,0.0,124.48568725585938,94.97737884521484,-25.267948150634766,-0.1064454209447337,-0.019841067960628754,-0.7477017393396218,47.64258856959073,-122.13890293737404,147.23838806152344
1770645378.583469,down,0.0,0.0,50,0.0,124.45878601074219,95.01393127441406,-25.274459838867188,-0.09657847011527773,-0.01808499809691031,-0.7479038151922929,47.642588254623575,-122.13890230584063,147.24977111816406
1770645378.6452355,down,0.0,0.0,50,0.0,124.43856048583984,95.04141998291016,-25.277626037597656,-0.17107283816700536,-0.04072878958141014,-0.7457465661224724,47.64258796689886,-122.1389017287286,147.25930786132812
1770645378.7074165,down,0.0,0.0,50,0.0,124.4159164428711,95.07172393798828,-25.265356063842773,-0.31511463834298925,-0.17503434797487688,-0.7333788493711879,47.64258770428925,-122.1389012012659,147.26727294921875
1770645378.7697237,down,0.0,0.0,50,0.0,124.39652252197266,95.09422302246094,-25.23278045654297,-0.4019188696543276,-0.317118636660789,-0.7125319188744194,47.6425874645989,-122.1389007193913,147.27395629882812
